"","year","month","date","evaporation _sum","2m_temperature _max","2m_temperature _min","surface_net_solar_radiation _sum","surface_pressure _mean","total_precipitation _sum","10m_component_of_wind"
"1",1990,1,1,-0.00186662414580496,294.771728515625,282.125,12986867.6975098,96472.3229166667,0,6.39016721978623
"2",1990,1,2,-0.00190991835461318,294.68701171875,283.045654296875,12029465.4460449,96543.2942708333,2.14576621146989e-05,7.47642260617028
"3",1990,1,3,-0.00197828846648918,296.90380859375,282.597412109375,13535220.5490723,96660.734375,0,7.14155935130382
"4",1990,1,4,-0.0017836250090113,298.216552734375,284.098388671875,12212658.4616699,96757.5,5.64575148018776e-05,6.70858735127068
"5",1990,1,5,-0.00190730756457924,298.248046875,285.27001953125,13189734.4804688,96842.4375,0,7.01965400573479
"6",1990,1,6,-0.00184706177060434,299.444091796875,285.621826171875,13669708.6445312,96719.2421875,0,4.15669589792781
"7",1990,1,7,-0.0017339874211757,299.64697265625,286.963134765625,12146151.0703125,96758.0833333333,0.000263309458659933,3.77975929253931
"8",1990,1,8,-0.00171706497349078,299.187255859375,287.38232421875,13077235.6796875,96795.2604166667,5.14983912580647e-06,4.36973931469216
"9",1990,1,9,-0.001569596810441,298.77587890625,283.450927734375,12584613.8945312,96727.6640625,0,3.97061360157914
"10",1990,1,10,-0.00171514638168446,298.879150390625,282.5322265625,14610663.7070312,96654.1119791667,0,7.43715869463837
"11",1990,1,11,-0.00183243524372756,299.0576171875,283.117431640625,14796210.4570312,96652.1536458333,0,8.27262872913997
"12",1990,1,12,-0.00172600873361262,299.85205078125,283.555908203125,14862424.8554688,96574.8307291667,0,2.9593625132835
"13",1990,1,13,-0.0017385414172395,301.862548828125,283.520263671875,14941467.0820312,96349.75,0,6.1274272528076
"14",1990,1,14,-0.00171479204618663,301,285.002685546875,15015974.421875,96343.8671875,0,6.94844601747493
"15",1990,1,15,-0.00150493390992779,299.149658203125,283.176513671875,14955237.8945312,96507.8385416667,0,6.38935827679782
