"","year","month","date","evaporation _sum","2m_temperature _max","2m_temperature _min","surface_net_solar_radiation _sum","surface_pressure _mean","total_precipitation _sum","10m_component_of_wind"
"1",1990,1,1,3.07103618979454e-07,258.07470703125,249.34700012207,1500992,58923.0597330729,0.00299549102783203,0.238797378284493
"2",1990,1,2,2.19931825995445e-06,256.60009765625,247.045318603516,1816896,59034.0786132812,0.00169229507446289,0.277396716749363
"3",1990,1,3,2.98861414194107e-06,256.491943359375,247.675170898438,1927296,59151.6608072917,0.00345945358276367,0.318888289176933
"4",1990,1,4,1.99326314032078e-06,258.734619140625,247.422164916992,1480896,59144.8849283854,0.00336837768554688,0.195696224845029
"5",1990,1,5,2.39606015384197e-06,251.569595336914,240.428085327148,2197696,59477.0857747396,0.000363349914550781,0.298147150693204
"6",1990,1,6,4.22331504523754e-06,255.520309448242,247.169891357422,1738816,59098.576171875,0.00470590591430664,0.227884469166202
"7",1990,1,7,3.22610139846802e-06,257.57080078125,250.326126098633,1965056,59170.3728841146,0.00171566009521484,0.260615287314269
"8",1990,1,8,2.24914401769638e-06,257.782470703125,251.699951171875,1591744,59117.7361653646,0.00341033935546875,0.277723587656536
"9",1990,1,9,2.59513035416603e-06,256.441162109375,249.722610473633,2076480,59254.7213541667,0.0012359619140625,0.32843978154421
"10",1990,1,10,3.53017821907997e-06,254.861251831055,247.364852905273,2177024,59395.0008138021,0.00185060501098633,0.353056144279495
"11",1990,1,11,5.94533048570156e-06,261.6298828125,253.994003295898,1601728,59240.7996419271,0.00392436981201172,0.29954126531565
"12",1990,1,12,4.9760565161705e-06,262.53759765625,253.265213012695,1468352,58963.224609375,0.00409483909606934,0.386090760152661
"13",1990,1,13,6.17653131484985e-06,259.837890625,252.791564941406,1775424,58905.1852213542,0.00218629837036133,0.253040481074479
"14",1990,1,14,-1.86264514923096e-07,253.552551269531,240.092636108398,2296896,59256.90234375,5.43594360351562e-05,0.378937761480524
"15",1990,1,15,3.1650997698307e-06,253.5908203125,241.217926025391,2351808,59296.9936523438,0.00197267532348633,0.389605341204883
"16",1990,1,16,7.29179009795189e-06,259.89990234375,253.139419555664,1483008,59102.1502278646,0.00489711761474609,0.169309948019216
"17",1990,1,17,4.85125929117203e-06,259.097900390625,255.393356323242,1237440,59028.3961588542,0.00701665878295898,0.217167355754827
"18",1990,1,18,4.43286262452602e-06,262.041015625,257.420166015625,1235840,59232.8605143229,0.0056610107421875,0.299595512077787
"19",1990,1,19,4.55672852694988e-06,262.68017578125,260.279296875,1731008,59535.5239257812,0.00362968444824219,0.370083985612204
